powerplant_type,CAP[USD/MW],FOM[USD/MWa],VOM[USD/MWh],LIFE,country,year,source
BATS,311000,0,0,20,XY,2020,"Fraunhofer ISE, DEA's study for Vietnam 2019"
BATS,311000,0,0,20,XY,2025,"Fraunhofer ISE, DEA's study for Vietnam 2019"
BATS,184000,0,0,25,XY,2030,"Fraunhofer ISE, DEA's study for Vietnam 2019"
BATS,184000,0,0,25,XY,2035,"Fraunhofer ISE, DEA's study for Vietnam 2019"
BATS,184000,0,0,25,XY,2040,"Fraunhofer ISE, DEA's study for Vietnam 2019"
BATS,184000,0,0,25,XY,2045,"Fraunhofer ISE, DEA's study for Vietnam 2019"
BATS,69000,0,0,30,XY,2050,"Fraunhofer ISE, DEA's study for Vietnam 2019"
BIOT,1788309,49500,3,25,XY,2020,DEA's study for Vietnam 2019
BIOT,1716777,47500,3,25,XY,2025,"Artelys, DEA's study for Vietnam 2019"
BIOT,1645244,45500,3,25,XY,2030,"Artelys, DEA's study for Vietnam 2019"
BIOT,1645244,45500,3,25,XY,2035,"Artelys, DEA's study for Vietnam 2019"
BIOT,1645244,45500,3,25,XY,2040,"Artelys, DEA's study for Vietnam 2019"
BIOT,1537946,42550,3,25,XY,2045,"Artelys, DEA's study for Vietnam 2019"
BIOT,1430647,39600,3,25,XY,2050,"Artelys, DEA's study for Vietnam 2019"
CCGT,878075,21952,2,35,XY,2020,LUT's study in Indonesia
CCGT,878075,21952,2,35,XY,2025,LUT's study in Indonesia
CCGT,878075,21952,2,35,XY,2030,LUT's study in Indonesia
CCGT,878075,21952,2,35,XY,2035,LUT's study in Indonesia
CCGT,878075,21952,2,35,XY,2040,LUT's study in Indonesia
CCGT,878075,21952,2,35,XY,2045,LUT's study in Indonesia
CCGT,878075,21952,2,35,XY,2050,LUT's study in Indonesia
CHP,1800000,49500,3.2,25,XY,2020,DEA's study for Vietnam 2021
CHP,1700000,49500,3.2,25,XY,2025,DEA's study for Vietnam 2021
CHP,1600000,45500,2.9,25,XY,2030,DEA's study for Vietnam 2021
CHP,1600000,45500,2.9,25,XY,2035,DEA's study for Vietnam 2021
CHP,1500000,45500,2.9,25,XY,2040,DEA's study for Vietnam 2021
CHP,1500000,45500,2.9,25,XY,2045,DEA's study for Vietnam 2021
CHP,1400000,39600,2.5,25,XY,2050,DEA's study for Vietnam 2021
CSP,803658,14242,0,20,XY,2020,Artelys
CSP,776530,13225,0,20,XY,2025,Artelys
CSP,749402,12207,0,20,XY,2030,Artelys
CSP,668019,11755,0,20,XY,2035,Artelys
CSP,586636,11303,0,20,XY,2040,Artelys
CSP,550466,10851,0,20,XY,2045,Artelys
CSP,513165,10399,0,20,XY,2050,Artelys
DAC,827000,31,0,25,XY,2020,Fasihi2019
DAC,605000,22,0,25,XY,2025,Fasihi2019
DAC,383000,14,0,25,XY,2030,Fasihi2019
DAC,326000,12,0,25,XY,2035,Fasihi2019
DAC,269000,10,0,25,XY,2040,Fasihi2019
DAC,247000,9,0,25,XY,2045,Fasihi2019
DAC,225000,8,0,25,XY,2050,Fasihi2019
EDLH,2034576,81383,0,30,XY,2020,ARENA
EDLH,2034576,81383,0,30,XY,2025,ARENA
EDLH,2034576,81383,0,30,XY,2030,ARENA
EDLH,2034576,81383,0,30,XY,2035,ARENA
EDLH,2034576,81383,0,30,XY,2040,ARENA
EDLH,2034576,81383,0,30,XY,2045,ARENA
EDLH,2034576,81383,0,30,XY,2050,ARENA
EERH,2807715,112309,0,30,XY,2020,ARENA
EERH,2807715,112309,0,30,XY,2025,ARENA
EERH,2807715,112309,0,30,XY,2030,ARENA
EERH,2807715,112309,0,30,XY,2035,ARENA
EERH,2807715,112309,0,30,XY,2040,ARENA
EERH,2807715,112309,0,30,XY,2045,ARENA
EERH,2807715,112309,0,30,XY,2050,ARENA
EHPP,629588,25184,0,30,XY,2020,ARENA
EHPP,629588,25184,0,30,XY,2025,ARENA
EHPP,629588,25184,0,30,XY,2030,ARENA
EHPP,629588,25184,0,30,XY,2035,ARENA
EHPP,629588,25184,0,30,XY,2040,ARENA
EHPP,629588,25184,0,30,XY,2045,ARENA
EHPP,629588,25184,0,30,XY,2050,ARENA
EIDT,393351,15734,0,30,XY,2020,ARENA
EIDT,393351,15734,0,30,XY,2025,ARENA
EIDT,393351,15734,0,30,XY,2030,ARENA
EIDT,393351,15734,0,30,XY,2035,ARENA
EIDT,393351,15734,0,30,XY,2040,ARENA
EIDT,393351,15734,0,30,XY,2045,ARENA
EIDT,393351,15734,0,30,XY,2050,ARENA
ELTZ,770893,26449,0,18,XY,2020,Artelys
ELTZ,642411,21137,0,18,XY,2025,Artelys
ELTZ,339900,15824,0,18,XY,2030,Artelys
ELTZ,305910,14468,0,18,XY,2035,Artelys
ELTZ,271920,12999,0,18,XY,2040,Artelys
ELTZ,237930,11642,0,18,XY,2045,Artelys
ELTZ,203940,10173,0,18,XY,2050,Artelys
EVST_PRV,2215427,690,0,30,XY,2020,EMOGE
EVST_PRV,1876331,690,0,30,XY,2025,EMOGE
EVST_PRV,1537235,690,0,30,XY,2030,EMOGE
EVST_PRV,1333778,690,0,30,XY,2035,EMOGE
EVST_PRV,1130320,690,0,30,XY,2040,EMOGE
EVST_PRV,904256,690,0,30,XY,2045,EMOGE
EVST_PRV,678192,690,0,30,XY,2050,EMOGE
EVST_PUB,1876331,690,0,30,XY,2020,EMOGE
EVST_PUB,1876331,690,0,30,XY,2025,EMOGE
EVST_PUB,1537235,690,0,30,XY,2030,EMOGE
EVST_PUB,1333778,690,0,30,XY,2035,EMOGE
EVST_PUB,1130320,690,0,30,XY,2040,EMOGE
EVST_PUB,904256,690,0,30,XY,2045,EMOGE
EVST_PUB,678192,690,0,30,XY,2050,EMOGE
FITR,1072951,32188,6,100,XY,2020,EWG-LUT 2019
FITR,1072951,32188,6,100,XY,2025,EWG-LUT 2019
FITR,1072951,32188,6,100,XY,2030,EWG-LUT 2019
FITR,1072951,32188,6,100,XY,2035,EWG-LUT 2019
FITR,965656,28970,6,100,XY,2040,EWG-LUT 2019
FITR,965656,28970,6,100,XY,2045,EWG-LUT 2019
FITR,965656,28970,6,100,XY,2050,EWG-LUT 2019
GEOT,5004178,90426,0,40,XY,2020,"DIW, LUT's study in Indonesia"
GEOT,4750323,90426,0,40,XY,2025,"DIW, LUT's study in Indonesia"
GEOT,4496469,90426,0,40,XY,2030,"DIW, LUT's study in Indonesia"
GEOT,4269127,90426,0,40,XY,2035,"DIW, LUT's study in Indonesia"
GEOT,4041785,90426,0,40,XY,2040,"DIW, LUT's study in Indonesia"
GEOT,3936399,90426,0,40,XY,2045,"DIW, LUT's study in Indonesia"
GEOT,3831013,90426,0,40,XY,2050,"DIW, LUT's study in Indonesia"
HROR,2128907,40692,0,50,XY,2020,DEA's study in Indonesia
HROR,2128907,40692,0,50,XY,2025,DEA's study in Indonesia
HROR,2128907,40692,0,50,XY,2030,DEA's study in Indonesia
HROR,2128907,40692,0,50,XY,2035,DEA's study in Indonesia
HROR,2128907,40692,0,50,XY,2040,DEA's study in Indonesia
HROR,2128907,40692,0,50,XY,2045,DEA's study in Indonesia
HROR,2128907,40692,0,50,XY,2050,DEA's study in Indonesia
HHBS,466500,0,0,20,XY,2020,DEA's study for Vietnam 2019
HHBS,466500,0,0,20,XY,2025,DEA's study for Vietnam 2019
HHBS,276000,0,0,20,XY,2030,DEA's study for Vietnam 2019
HHBS,276000,0,0,20,XY,2035,DEA's study for Vietnam 2019
HHBS,276000,0,0,20,XY,2040,DEA's study for Vietnam 2019
HHBS,276000,0,0,20,XY,2045,DEA's study for Vietnam 2019
HHBS,103500,0,0,20,XY,2050,DEA's study for Vietnam 2019
HPHS,890000,8320,1.4,50,XY,2020,DEA's study for Vietnam 2019
HPHS,890000,8320,1.4,50,XY,2025,DEA's study for Vietnam 2019
HPHS,890000,8320,1.4,50,XY,2030,DEA's study for Vietnam 2019
HPHS,890000,8320,1.4,50,XY,2035,DEA's study for Vietnam 2019
HPHS,890000,8320,1.4,50,XY,2040,DEA's study for Vietnam 2019
HPHS,890000,8320,1.4,50,XY,2045,DEA's study for Vietnam 2019
HPHS,890000,8320,1.4,50,XY,2050,DEA's study for Vietnam 2019
HDAM,2128907,40692,0,50,XY,2020,DEA's study in Indonesia
HDAM,2128907,40692,0,50,XY,2025,DEA's study in Indonesia
HDAM,2128907,40692,0,50,XY,2030,DEA's study in Indonesia
HDAM,2128907,40692,0,50,XY,2035,DEA's study in Indonesia
HDAM,2128907,40692,0,50,XY,2040,DEA's study in Indonesia
HDAM,2128907,40692,0,50,XY,2045,DEA's study in Indonesia
HDAM,2128907,40692,0,50,XY,2050,DEA's study in Indonesia
IND_BOILER,225354,50864,6,25,XY,2020,DEA's study for Vietnam 2019
IND_BOILER,225354,50864,6,25,XY,2025,DEA's study for Vietnam 2019
IND_BOILER,225354,50864,6,25,XY,2030,DEA's study for Vietnam 2019
IND_BOILER,225354,50864,6,25,XY,2035,DEA's study for Vietnam 2019
IND_BOILER,225354,50864,6,25,XY,2040,DEA's study for Vietnam 2019
IND_BOILER,225354,50864,6,25,XY,2045,DEA's study for Vietnam 2019
IND_BOILER,225354,50864,6,25,XY,2050,DEA's study for Vietnam 2019
INLHSTOR,453200,678,0,30,XY,2020,LUT
INLHSTOR,396550,593,0,30,XY,2025,LUT
INLHSTOR,339900,509,0,30,XY,2030,LUT
INLHSTOR,283250,424,0,30,XY,2035,LUT
INLHSTOR,226600,339,0,30,XY,2040,LUT
INLHSTOR,226600,339,0,30,XY,2045,LUT
INLHSTOR,226600,339,0,30,XY,2050,LUT
METH,871320,30386.66667,0,30,XY,2020,Artelys
METH,871320,30386.66667,0,30,XY,2025,Artelys
METH,670980,23320,0,30,XY,2030,Artelys
METH,572930,19875,0,30,XY,2035,Artelys
METH,474880,16430,0,30,XY,2040,Artelys
METH,376830,12985,0,30,XY,2045,Artelys
METH,278780,9540,0,30,XY,2050,Artelys
NUCL,6798000,133127.5,7.931,25,XY,2020,Artelys
NUCL,6798000,133127.5,7.931,25,XY,2025,Artelys
NUCL,6798000,130295,8.3842,25,XY,2030,Artelys
NUCL,6798000,126329.5,8.4975,25,XY,2035,Artelys
NUCL,6798000,122364,8.6108,25,XY,2040,Artelys
NUCL,6798000,120664.5,8.7241,25,XY,2045,Artelys
NUCL,6798000,118965,8.8374,25,XY,2050,Artelys
OCGT,849750,16995,2.266,25,XY,2020,Artelys
OCGT,849750,16995,2.266,25,XY,2025,Artelys
OCGT,793100,16995,2.266,25,XY,2030,Artelys
OCGT,764775,16995,2.266,25,XY,2035,Artelys
OCGT,736450,16995,2.266,25,XY,2040,Artelys
OCGT,708125,16995,2.266,25,XY,2045,Artelys
OCGT,679800,16995,2.266,25,XY,2050,Artelys
OCHT,668470,39936,2,30,XY,2020,"Artelys, DEA's study for Vietnam 2019"
OCHT,657140,39184,2,30,XY,2025,"Artelys, DEA's study for Vietnam 2019"
OCHT,645810,38431,2,30,XY,2030,"Artelys, DEA's study for Vietnam 2019"
OCHT,645810,35605,2,30,XY,2035,"Artelys, DEA's study for Vietnam 2019"
OCHT,645810,35040,2,30,XY,2040,"Artelys, DEA's study for Vietnam 2019"
OCHT,628815,34475,2,30,XY,2045,"Artelys, DEA's study for Vietnam 2019"
OCHT,611820,36170,2,30,XY,2050,"Artelys, DEA's study for Vietnam 2019"
OILT,800000,8000,6,25,XY,2020,DEA's study for Vietnam 2019
OILT,800000,8000,6,25,XY,2025,DEA's study for Vietnam 2019
OILT,800000,8000,6,25,XY,2030,DEA's study for Vietnam 2019
OILT,800000,8000,6,25,XY,2035,DEA's study for Vietnam 2019
OILT,800000,8000,6,25,XY,2040,DEA's study for Vietnam 2019
OILT,790000,7880,6,25,XY,2045,DEA's study for Vietnam 2019
OILT,780000,7760,6,25,XY,2050,DEA's study for Vietnam 2019
PEVCH,0,0,0,10,XY,2020,
PEVCH,0,0,0,10,XY,2025,
PEVCH,0,0,0,10,XY,2030,
PEVCH,0,0,0,10,XY,2035,
PEVCH,0,0,0,10,XY,2040,
PEVCH,0,0,0,10,XY,2045,
PEVCH,0,0,0,10,XY,2050,
PHOT,930000,15500,0,30,XY,2020,"EWG-LUT 2019, DEA's study for Vietnam 2019"
PHOT,795000,12750,0,30,XY,2025,"EWG-LUT 2019, DEA's study for Vietnam 2019"
PHOT,660000,10000,0,30,XY,2030,"EWG-LUT 2019, DEA's study for Vietnam 2019"
PHOT,660000,10000,0,30,XY,2035,"EWG-LUT 2019, DEA's study for Vietnam 2019"
PHOT,660000,10000,0,30,XY,2040,"EWG-LUT 2019, DEA's study for Vietnam 2019"
PHOT,570000,9000,0,30,XY,2045,"EWG-LUT 2019, DEA's study for Vietnam 2019"
PHOT,480000,8000,0,30,XY,2050,"EWG-LUT 2019, DEA's study for Vietnam 2019"
RTPV,1352836,14956,0.6,30,XY,2020,"ERI Survey, Artelys, DEA's study for Vietnam 2019"
RTPV,1189956,13369,0.6,30,XY,2025,"ERI Survey, Artelys, DEA's study for Vietnam 2019"
RTPV,997335,12010,0.6,30,XY,2030,"ERI Survey, Artelys, DEA's study for Vietnam 2019"
RTPV,855619,10877,0.6,30,XY,2035,"ERI Survey, Artelys, DEA's study for Vietnam 2019"
RTPV,774406,9970,0.6,30,XY,2040,"ERI Survey, Artelys, DEA's study for Vietnam 2019"
RTPV,712510,9064,0.6,30,XY,2045,"ERI Survey, Artelys, DEA's study for Vietnam 2019"
RTPV,663326,8384,0.6,30,XY,2050,"ERI Survey, Artelys, DEA's study for Vietnam 2019"
SWHT,1375462,16768.4,0,20,XY,2020,EWG-LUT 2019
SWHT,1335807,16768.4,0,20,XY,2025,EWG-LUT 2019
SWHT,1295019,16768.4,0,20,XY,2030,EWG-LUT 2019
SWHT,1213443,16768.4,0,20,XY,2035,EWG-LUT 2019
SWHT,1133000,16768.4,0,20,XY,2040,EWG-LUT 2019
SWHT,1052557,16768.4,0,20,XY,2045,EWG-LUT 2019
SWHT,970981,16768.4,0,20,XY,2050,EWG-LUT 2019
SubC,1120000,39400,1,30,XY,2020,DEA's study for Vietnam 2019
SubC,1165000,38800,0,30,XY,2025,DEA's study for Vietnam 2019
SubC,1210000,38200,0,30,XY,2030,DEA's study for Vietnam 2019
SubC,1210000,38200,0,30,XY,2035,DEA's study for Vietnam 2019
SubC,1210000,38200,0,30,XY,2040,DEA's study for Vietnam 2019
SubC,1195000,37600,0,30,XY,2045,DEA's study for Vietnam 2019
SubC,1180000,37000,0,30,XY,2050,DEA's study for Vietnam 2019
SupC,1511603,40408.445,0.1133,30,XY,2020,DEA's study for Vietnam 2019
SupC,1506663,39865.17,0.1133,30,XY,2025,DEA's study for Vietnam 2019
SupC,1501724,39321.898,0.1133,30,XY,2030,DEA's study for Vietnam 2019
SupC,1501724,39321.898,0.1133,30,XY,2035,DEA's study for Vietnam 2019
SupC,1501724,39321.898,0.1133,30,XY,2040,DEA's study for Vietnam 2019
SupC,1501724,39321.898,0.1133,30,XY,2045,DEA's study for Vietnam 2019
SupC,1481964,38037.076,0.1133,30,XY,2050,DEA's study for Vietnam 2019
WSTT,248670,50864,6,25,XY,2020,Fraunhofer ISI
WSTT,248670,50864,6,25,XY,2025,Fraunhofer ISI
WSTT,248670,50864,6,25,XY,2030,Fraunhofer ISI
WSTT,248670,50864,6,25,XY,2035,Fraunhofer ISI
WSTT,248670,50864,6,25,XY,2040,Fraunhofer ISI
WSTT,248670,50864,6,25,XY,2045,Fraunhofer ISI
WSTT,248670,50864,6,25,XY,2050,Fraunhofer ISI
WTOF,3150000,70000,5,30,XY,2020,DEA's study for Vietnam 2019
WTOF,2650000,56000,4,30,XY,2025,DEA's study for Vietnam 2019
WTOF,2150000,42000,4,30,XY,2030,DEA's study for Vietnam 2019
WTOF,2150000,42000,4,30,XY,2035,DEA's study for Vietnam 2019
WTOF,2150000,42000,4,30,XY,2040,DEA's study for Vietnam 2019
WTOF,1925000,40500,3,30,XY,2045,DEA's study for Vietnam 2019
WTOF,1700000,39000,3,30,XY,2050,DEA's study for Vietnam 2019
WTON,1500000,42000,4,30,XY,2020,"DEA's study for Vietnam 2019, DEA's study for Vietnam 2021"
WTON,1390000,39000,3,30,XY,2025,"DEA's study for Vietnam 2019, DEA's study for Vietnam 2021"
WTON,1280000,36000,3,30,XY,2030,"DEA's study for Vietnam 2019, DEA's study for Vietnam 2021"
WTON,1280000,36000,3,30,XY,2035,"DEA's study for Vietnam 2019, DEA's study for Vietnam 2021"
WTON,1280000,36000,3,30,XY,2040,"DEA's study for Vietnam 2019, DEA's study for Vietnam 2021"
WTON,1180000,32000,3,30,XY,2045,"DEA's study for Vietnam 2019, DEA's study for Vietnam 2021"
WTON,1080000,28000,2,30,XY,2050,"DEA's study for Vietnam 2019, DEA's study for Vietnam 2021"
